               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,             0.10881,           0.0091997,             0.01838,             0.28235,             0.24381,             0.21865,            0.099701,             0.11419,            0.020115,            0.022906,            0.005248,            0.005248,            0.005248
                  74,              0.1096,           0.0095226,            0.018557,             0.26224,             0.22554,             0.20822,             0.09322,             0.11407,            0.020355,            0.023017,            0.005182,            0.005182,            0.005182
                  75,             0.10931,           0.0094733,            0.018201,              0.2767,             0.24663,             0.22197,            0.099815,             0.11302,            0.019955,            0.022709,            0.005116,            0.005116,            0.005116
                  76,             0.11003,           0.0095409,            0.018366,             0.28473,             0.23099,              0.2111,            0.095314,             0.11327,            0.020058,            0.022861,             0.00505,             0.00505,             0.00505
                  77,             0.10935,           0.0092995,            0.018174,             0.29579,             0.24804,             0.21689,            0.099856,             0.11302,            0.019973,            0.022837,            0.004984,            0.004984,            0.004984
                  78,              0.1098,           0.0093305,            0.018146,             0.32561,             0.24233,             0.21387,             0.10046,             0.11309,            0.019738,            0.023907,            0.004918,            0.004918,            0.004918
                  79,             0.10966,           0.0095652,            0.018031,             0.25248,             0.24834,             0.22609,             0.10146,             0.11246,            0.019981,            0.022524,            0.004852,            0.004852,            0.004852
                  80,              0.1089,           0.0093339,            0.017886,             0.27908,             0.24677,              0.2128,            0.098084,             0.11363,            0.020102,            0.023336,            0.004786,            0.004786,            0.004786
                  81,             0.10838,           0.0093846,            0.017459,             0.26767,             0.24888,             0.21808,            0.098467,             0.11376,            0.019854,             0.02283,             0.00472,             0.00472,             0.00472
                  82,             0.10855,           0.0093603,            0.017851,             0.36803,             0.24655,             0.22511,             0.10078,             0.11273,            0.019814,            0.022841,            0.004654,            0.004654,            0.004654
                  83,             0.10868,           0.0094719,            0.017728,             0.28527,             0.26027,             0.22546,             0.10352,             0.11255,            0.019806,            0.022582,            0.004588,            0.004588,            0.004588
                  84,             0.10836,           0.0092775,            0.017706,             0.27439,             0.25505,             0.22179,             0.10141,             0.11338,            0.020006,            0.022696,            0.004522,            0.004522,            0.004522
                  85,             0.10901,           0.0094545,            0.018248,             0.28313,             0.26694,             0.22668,             0.10415,              0.1133,            0.019664,            0.022305,            0.004456,            0.004456,            0.004456
                  86,             0.10838,           0.0094115,            0.017991,             0.25273,             0.24365,             0.22325,             0.10357,             0.11285,            0.020046,            0.022838,             0.00439,             0.00439,             0.00439
                  87,             0.10836,           0.0093169,            0.017865,              0.4089,             0.24589,             0.23246,             0.10528,             0.11213,            0.019996,            0.022311,            0.004324,            0.004324,            0.004324
                  88,             0.10894,           0.0094702,            0.017978,             0.28653,             0.24221,             0.21986,              0.1013,             0.11265,            0.020134,            0.022753,            0.004258,            0.004258,            0.004258
                  89,             0.10798,           0.0092276,            0.017507,             0.29866,             0.28036,             0.23262,             0.10485,             0.11228,            0.019735,             0.02251,            0.004192,            0.004192,            0.004192
                  90,             0.10778,           0.0092701,            0.017373,             0.26016,             0.25418,             0.22696,             0.10417,             0.11236,            0.019758,            0.022486,            0.004126,            0.004126,            0.004126
                  91,             0.10807,           0.0094167,            0.017475,             0.28275,             0.25904,             0.23655,             0.10985,             0.11178,            0.019684,            0.022586,             0.00406,             0.00406,             0.00406
                  92,              0.1079,           0.0092639,            0.017706,              0.3058,             0.26744,              0.2301,             0.10504,             0.11178,            0.019878,            0.022585,            0.003994,            0.003994,            0.003994
                  93,             0.10769,           0.0093022,            0.017214,             0.28216,             0.23284,             0.22168,              0.1016,             0.11273,            0.019823,              0.0226,            0.003928,            0.003928,            0.003928
                  94,             0.10777,           0.0096117,            0.017247,             0.28948,             0.26332,             0.23958,             0.11006,             0.11127,            0.019859,             0.02211,            0.003862,            0.003862,            0.003862
                  95,             0.10756,           0.0095012,            0.017192,             0.30494,             0.25688,             0.23062,             0.10629,             0.11175,            0.019812,            0.022415,            0.003796,            0.003796,            0.003796
                  96,             0.10824,           0.0093323,            0.017524,             0.32116,             0.26647,             0.23225,             0.10705,             0.11155,            0.019774,            0.022838,             0.00373,             0.00373,             0.00373
                  97,             0.10799,           0.0092889,            0.017344,             0.30761,             0.27488,             0.22743,             0.10614,              0.1122,            0.019706,            0.023953,            0.003664,            0.003664,            0.003664
                  98,             0.10736,           0.0094178,            0.017064,             0.33442,             0.27815,             0.23234,             0.10738,             0.11196,            0.020075,            0.023011,            0.003598,            0.003598,            0.003598
                  99,             0.10732,           0.0093027,            0.016979,              0.2937,             0.24723,             0.22532,             0.10555,             0.11167,            0.019775,            0.023104,            0.003532,            0.003532,            0.003532
                 100,             0.10667,           0.0092547,            0.017049,             0.31431,             0.26991,              0.2342,             0.10935,              0.1112,            0.019582,            0.022354,            0.003466,            0.003466,            0.003466
                 101,             0.10732,           0.0092776,              0.0172,             0.31306,             0.27669,             0.24061,             0.11202,             0.11091,            0.019949,            0.022781,              0.0034,              0.0034,              0.0034
                 102,             0.10735,           0.0093863,            0.017165,             0.37692,             0.27755,             0.24007,             0.11012,             0.11214,            0.019776,            0.022684,            0.003334,            0.003334,            0.003334
                 103,             0.10753,           0.0093151,            0.017384,             0.37015,             0.26591,             0.24021,              0.1113,             0.11138,            0.019928,            0.022262,            0.003268,            0.003268,            0.003268
                 104,             0.10761,           0.0093028,            0.016954,             0.29289,             0.26489,             0.23212,             0.11041,             0.11137,            0.019949,            0.022243,            0.003202,            0.003202,            0.003202
                 105,             0.10649,           0.0093216,            0.017072,             0.33782,              0.2635,             0.23718,             0.11229,              0.1122,                0.02,            0.023353,            0.003136,            0.003136,            0.003136
                 106,             0.10666,           0.0094264,            0.016938,              0.2747,             0.27536,             0.23954,             0.11516,             0.11123,            0.019626,            0.022249,             0.00307,             0.00307,             0.00307
                 107,             0.10625,           0.0094007,            0.016919,             0.29982,             0.26689,             0.24849,             0.11723,             0.11108,            0.019728,             0.02195,            0.003004,            0.003004,            0.003004
                 108,             0.10671,           0.0094529,            0.016868,             0.32683,             0.28978,             0.23893,             0.11317,             0.11102,             0.01981,            0.022377,            0.002938,            0.002938,            0.002938
                 109,             0.10722,           0.0094232,            0.016738,             0.28112,             0.25982,             0.23046,             0.10741,             0.11203,            0.019869,            0.022968,            0.002872,            0.002872,            0.002872
                 110,             0.10707,            0.009538,            0.016892,             0.31463,             0.27911,             0.23861,             0.11217,             0.11199,            0.019818,            0.022446,            0.002806,            0.002806,            0.002806
                 111,             0.10679,            0.009405,            0.016962,             0.30131,             0.26668,             0.24433,             0.11463,             0.11107,            0.020057,            0.022508,             0.00274,             0.00274,             0.00274
                 112,             0.10645,           0.0094156,            0.016625,             0.29308,             0.26858,             0.23881,              0.1144,             0.11152,            0.019564,            0.022479,            0.002674,            0.002674,            0.002674
                 113,             0.10617,           0.0091609,            0.017093,             0.29192,             0.26895,             0.24274,              0.1135,              0.1112,            0.019742,            0.022463,            0.002608,            0.002608,            0.002608
                 114,             0.10677,           0.0094584,             0.01664,             0.29028,             0.29714,             0.24172,             0.11281,             0.11054,            0.019865,            0.022353,            0.002542,            0.002542,            0.002542
                 115,             0.10712,           0.0093273,            0.016783,             0.30504,             0.28109,             0.24645,             0.11527,             0.11104,            0.019902,            0.022995,            0.002476,            0.002476,            0.002476
                 116,             0.10565,           0.0092926,            0.016492,             0.31162,             0.28488,             0.24239,             0.11184,             0.11121,            0.019903,            0.022611,             0.00241,             0.00241,             0.00241
                 117,             0.10557,           0.0093364,            0.016653,              0.2983,             0.26499,             0.24171,             0.11242,             0.11121,            0.019715,              0.0228,            0.002344,            0.002344,            0.002344
                 118,             0.10568,           0.0094822,            0.016562,             0.29559,             0.27137,             0.23951,             0.11294,             0.11163,            0.019743,            0.023062,            0.002278,            0.002278,            0.002278
                 119,             0.10652,           0.0092609,            0.016852,             0.33407,             0.28138,             0.24273,             0.11308,             0.11106,            0.019843,            0.022506,            0.002212,            0.002212,            0.002212
                 120,             0.10629,           0.0095403,            0.016351,             0.31372,             0.26864,             0.23848,             0.11497,               0.111,            0.019781,            0.022537,            0.002146,            0.002146,            0.002146
                 121,              0.1061,           0.0093634,            0.016215,             0.32024,             0.27076,             0.23969,             0.11326,             0.11101,            0.019886,            0.022896,             0.00208,             0.00208,             0.00208
                 122,             0.10588,           0.0092619,              0.0167,             0.32635,              0.2804,              0.2446,             0.11352,             0.11087,            0.019796,            0.022644,            0.002014,            0.002014,            0.002014
